x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-493.2400E-03,+2.3795801E+00,+248.0897E-03,+4.8577003E+00,+4.3515496E+00
-493.1098E-03,+2.3795540E+00,+249.7907E-03,+4.8522028E+00,+4.3495207E+00
-492.9796E-03,+2.3784022E+00,+247.0420E-03,+4.8488008E+00,+4.3507644E+00
-492.8494E-03,+2.3797374E+00,+246.7807E-03,+4.8499792E+00,+4.3465760E+00
-492.7192E-03,+2.3798681E+00,+245.3410E-03,+4.8573084E+00,+4.3469039E+00
-492.5890E-03,+2.3795801E+00,+246.6500E-03,+4.8579616E+00,+4.3505685E+00
-492.4588E-03,+2.3795540E+00,+246.7807E-03,+4.8572418E+00,+4.3465760E+00
-492.3285E-03,+2.3795540E+00,+255.4188E-03,+4.8542971E+00,+4.3548222E+00
-492.1983E-03,+2.3792661E+00,+245.4050E-03,+4.8504365E+00,+4.3556062E+00
-492.0681E-03,+2.3792399E+00,+250.1839E-03,+4.8493900E+00,+4.3534466E+00
-491.9379E-03,+2.3795279E+00,+244.2279E-03,+4.8522041E+00,+4.3489315E+00
-491.8077E-03,+2.3795540E+00,+240.0407E-03,+4.8517456E+00,+4.3492594E+00
-491.6775E-03,+2.3792661E+00,+246.9126E-03,+4.8574390E+00,+4.3500446E+00
-491.5473E-03,+2.3792399E+00,+246.8460E-03,+4.8514830E+00,+4.3465107E+00
-491.4171E-03,+2.3792399E+00,+248.2204E-03,+4.8544943E+00,+4.3533825E+00
-491.2869E-03,+2.3792399E+00,+246.9113E-03,+4.8577003E+00,+4.3489969E+00
-491.1567E-03,+2.3792399E+00,+248.9402E-03,+4.8579616E+00,+4.3521388E+00
-491.0265E-03,+2.3792399E+00,+248.4163E-03,+4.8586815E+00,+4.3524655E+00
-490.8963E-03,+2.3792399E+00,+247.6312E-03,+4.8580270E+00,+4.3467067E+00
-490.7660E-03,+2.3792399E+00,+246.8460E-03,+4.8586815E+00,+4.3461840E+00
-490.6358E-03,+2.3792399E+00,+247.5005E-03,+4.8580270E+00,+4.3490634E+00
-490.5056E-03,+2.3792399E+00,+246.8460E-03,+4.8478838E+00,+4.3550835E+00
-490.3754E-03,+2.3792399E+00,+248.2204E-03,+4.8563272E+00,+4.3556062E+00
-490.2452E-03,+2.3789520E+00,+246.9113E-03,+4.8607757E+00,+4.3498474E+00
-490.1150E-03,+2.3789259E+00,+256.1387E-03,+4.8582229E+00,+4.3464453E+00
-489.9848E-03,+2.3789259E+00,+248.3498E-03,+4.8550822E+00,+4.3541024E+00
-489.8546E-03,+2.3789259E+00,+251.1651E-03,+4.8577003E+00,+4.3497820E+00
-489.7244E-03,+2.3786379E+00,+252.2116E-03,+4.8572418E+00,+4.3522041E+00
-489.5942E-03,+2.3786118E+00,+252.9967E-03,+4.8571765E+00,+4.3495861E+00
-489.4640E-03,+2.3786118E+00,+250.1827E-03,+4.8607757E+00,+4.3543637E+00
-489.3338E-03,+2.3786118E+00,+252.8008E-03,+4.8582229E+00,+4.3533813E+00
-489.2035E-03,+2.3783238E+00,+247.3033E-03,+4.8601212E+00,+4.3482117E+00
-489.0733E-03,+2.3782977E+00,+243.9013E-03,+4.8581576E+00,+4.3463147E+00
-488.9431E-03,+2.3782977E+00,+245.0797E-03,+4.8572418E+00,+4.3519428E+00
-488.8129E-03,+2.3782977E+00,+245.2103E-03,+4.8586162E+00,+4.3524655E+00
-488.6827E-03,+2.3782977E+00,+243.7706E-03,+4.8609064E+00,+4.3531853E+00
-488.5525E-03,+2.3782977E+00,+252.2781E-03,+4.8596626E+00,+4.3532506E+00
-488.4223E-03,+2.3782977E+00,+250.9025E-03,+4.8566526E+00,+4.3496514E+00
-488.2921E-03,+2.3780098E+00,+247.8271E-03,+4.8657493E+00,+4.3500446E+00
-488.1619E-03,+2.3779836E+00,+253.3246E-03,+4.8622795E+00,+4.3565886E+00
-488.0317E-03,+2.3779836E+00,+248.0884E-03,+4.8568486E+00,+4.3564567E+00
-487.9015E-03,+2.3779836E+00,+247.5658E-03,+4.8563913E+00,+4.3571112E+00
-487.7713E-03,+2.3779836E+00,+246.8460E-03,+4.8592707E+00,+4.3550170E+00
-487.6410E-03,+2.3779836E+00,+252.5395E-03,+4.8588121E+00,+4.3461828E+00
-487.5108E-03,+2.3776957E+00,+250.1827E-03,+4.8573071E+00,+4.3461187E+00
-487.3806E-03,+2.3776696E+00,+252.0809E-03,+4.8643750E+00,+4.3548222E+00
-487.2504E-03,+2.3782455E+00,+252.2769E-03,+4.8614290E+00,+4.3498474E+00
-487.1202E-03,+2.3800254E+00,+252.9967E-03,+4.8524642E+00,+4.3493247E+00
-486.9900E-03,+2.3778786E+00,+248.0231E-03,+4.8516802E+00,+4.3550835E+00
-486.8598E-03,+2.3796852E+00,+247.5658E-03,+4.8516802E+00,+4.3556062E+00
-486.7296E-03,+2.3775645E+00,+252.6048E-03,+4.8574390E+00,+4.3541665E+00
-486.5994E-03,+2.3773555E+00,+253.0621E-03,+4.8579616E+00,+4.3561954E+00
-486.4692E-03,+2.3770676E+00,+250.1827E-03,+4.8522028E+00,+4.3585509E+00
-486.3390E-03,+2.3776173E+00,+246.3221E-03,+4.8502405E+00,+4.3544278E+00
-486.2088E-03,+2.3770937E+00,+247.4352E-03,+4.8587481E+00,+4.3504366E+00
-486.0785E-03,+2.3770414E+00,+247.5658E-03,+4.8652908E+00,+4.3544290E+00
-485.9483E-03,+2.3784811E+00,+247.5658E-03,+4.8607745E+00,+4.3497820E+00
-485.8181E-03,+2.3771721E+00,+247.5658E-03,+4.8574378E+00,+4.3486049E+00
-485.6879E-03,+2.3770414E+00,+251.8849E-03,+4.8578963E+00,+4.3550182E+00
-485.5577E-03,+2.3773294E+00,+248.6776E-03,+4.8608410E+00,+4.3563260E+00
-485.4275E-03,+2.3779314E+00,+250.5106E-03,+4.8596626E+00,+4.3499127E+00
-485.2973E-03,+2.3774078E+00,+247.8271E-03,+4.8588121E+00,+4.3550835E+00
-485.1671E-03,+2.3770676E+00,+246.1261E-03,+4.8580270E+00,+4.3527268E+00
-485.0369E-03,+2.3776173E+00,+245.2756E-03,+4.8579616E+00,+4.3553448E+00
-484.9067E-03,+2.3773816E+00,+246.6500E-03,+4.8608410E+00,+4.3556062E+00
-484.7765E-03,+2.3773555E+00,+247.5005E-03,+4.8603825E+00,+4.3556062E+00
-484.6463E-03,+2.3776434E+00,+246.8460E-03,+4.8603172E+00,+4.3556062E+00
-484.5160E-03,+2.3773816E+00,+248.2204E-03,+4.8595973E+00,+4.3563260E+00
-484.3858E-03,+2.3773555E+00,+247.6312E-03,+4.8588121E+00,+4.3556715E+00
-484.2556E-03,+2.3793711E+00,+256.2040E-03,+4.8580270E+00,+4.3556062E+00
-484.1254E-03,+2.3772505E+00,+254.1085E-03,+4.8579616E+00,+4.3563260E+00
-483.9952E-03,+2.3770414E+00,+254.5671E-03,+4.8651601E+00,+4.3499127E+00
-483.8650E-03,+2.3790570E+00,+247.4339E-03,+4.8622142E+00,+4.3550835E+00
-483.7348E-03,+2.3792399E+00,+246.7807E-03,+4.8590081E+00,+4.3505672E+00
-483.6046E-03,+2.3792399E+00,+249.6601E-03,+4.8573071E+00,+4.3558687E+00
-483.4744E-03,+2.3766485E+00,+249.2015E-03,+4.8586162E+00,+4.3484730E+00
-483.3442E-03,+2.3764133E+00,+254.8950E-03,+4.8601865E+00,+4.3499139E+00
-483.2140E-03,+2.3764133E+00,+248.9389E-03,+4.8538385E+00,+4.3508298E+00
-483.0838E-03,+2.3787168E+00,+247.6312E-03,+4.8582895E+00,+4.3501752E+00
-482.9535E-03,+2.3766223E+00,+247.5658E-03,+4.8501086E+00,+4.3472305E+00
-482.8233E-03,+2.3764133E+00,+247.5658E-03,+4.8500446E+00,+4.3476891E+00
-482.6931E-03,+2.3795806E+00,+250.4452E-03,+4.8565885E+00,+4.3535132E+00
-482.5629E-03,+2.3798681E+00,+250.7065E-03,+4.8593360E+00,+4.3554755E+00
-482.4327E-03,+2.3798681E+00,+255.7455E-03,+4.8616915E+00,+4.3498474E+00
-482.3025E-03,+2.3798681E+00,+247.5646E-03,+4.8604478E+00,+4.3493247E+00
-482.1723E-03,+2.3761248E+00,+255.4188E-03,+4.8603172E+00,+4.3507644E+00
-482.0421E-03,+2.3757852E+00,+254.0432E-03,+4.8559981E+00,+4.3501752E+00
-481.9119E-03,+2.3757852E+00,+248.0884E-03,+4.8548863E+00,+4.3501099E+00
-481.7817E-03,+2.3795284E+00,+246.8460E-03,+4.8584202E+00,+4.3501099E+00
-481.6515E-03,+2.3775645E+00,+246.7807E-03,+4.8601865E+00,+4.3501099E+00
-481.5213E-03,+2.3773555E+00,+248.2204E-03,+4.8574378E+00,+4.3486702E+00
-481.3910E-03,+2.3796590E+00,+251.2304E-03,+4.8557368E+00,+4.3550182E+00
-481.2608E-03,+2.3795801E+00,+250.7719E-03,+4.8599252E+00,+4.3556062E+00
-481.1306E-03,+2.3795540E+00,+250.7065E-03,+4.8559981E+00,+4.3556062E+00
-481.0004E-03,+2.3784022E+00,+247.1073E-03,+4.8563260E+00,+4.3548863E+00
-480.8702E-03,+2.3794495E+00,+249.6601E-03,+4.8578310E+00,+4.3490622E+00
-480.7400E-03,+2.3795540E+00,+247.0420E-03,+4.8579616E+00,+4.3492594E+00
-480.6098E-03,+2.3792661E+00,+241.0219E-03,+4.8572418E+00,+4.3536438E+00
-480.4796E-03,+2.3792399E+00,+241.2191E-03,+4.8578963E+00,+4.3554755E+00
-480.3494E-03,+2.3789520E+00,+250.6425E-03,+4.8514830E+00,+4.3505672E+00
-480.2192E-03,+2.3792138E+00,+244.2932E-03,+4.8573737E+00,+4.3558687E+00
-480.0890E-03,+2.3789520E+00,+246.5194E-03,+4.8594013E+00,+4.3563913E+00
-479.9588E-03,+2.3789259E+00,+246.7807E-03,+4.8580923E+00,+4.3556715E+00
-479.8285E-03,+2.3789259E+00,+248.9402E-03,+4.8514830E+00,+4.3498474E+00
-479.6983E-03,+2.3789259E+00,+249.1362E-03,+4.8537745E+00,+4.3514843E+00
-479.5681E-03,+2.3789259E+00,+245.5369E-03,+4.8576350E+00,+4.3509604E+00
-479.4379E-03,+2.3789259E+00,+247.3699E-03,+4.8572418E+00,+4.3552142E+00
-479.3077E-03,+2.3786379E+00,+246.1261E-03,+4.8600559E+00,+4.3548863E+00
-479.1775E-03,+2.3763083E+00,+246.7153E-03,+4.8581576E+00,+4.3562607E+00
-479.0473E-03,+2.3784027E+00,+244.6211E-03,+4.8572418E+00,+4.3556715E+00
-478.9171E-03,+2.3774600E+00,+243.7053E-03,+4.8571765E+00,+4.3505672E+00
-478.7869E-03,+2.3773555E+00,+247.2392E-03,+4.8514177E+00,+4.3493901E+00
-478.6567E-03,+2.3782193E+00,+241.8070E-03,+4.8508951E+00,+4.3500446E+00
-478.5265E-03,+2.3782977E+00,+239.1249E-03,+4.8573737E+00,+4.3501099E+00
-478.3963E-03,+2.3782977E+00,+246.8472E-03,+4.8586815E+00,+4.3501099E+00
-478.2660E-03,+2.3782977E+00,+246.8460E-03,+4.8587468E+00,+4.3551489E+00
-478.1358E-03,+2.3782977E+00,+246.0608E-03,+4.8580270E+00,+4.3498474E+00
-478.0056E-03,+2.3780098E+00,+246.7153E-03,+4.8608410E+00,+4.3500446E+00
-477.8754E-03,+2.3779836E+00,+241.7417E-03,+4.8603825E+00,+4.3551489E+00
-477.7452E-03,+2.3779836E+00,+246.3234E-03,+4.8574378E+00,+4.3505672E+00
-477.6150E-03,+2.3779836E+00,+247.5005E-03,+4.8600559E+00,+4.3501099E+00
-477.4848E-03,+2.3779836E+00,+247.5658E-03,+4.8516790E+00,+4.3493901E+00
-477.3546E-03,+2.3779836E+00,+247.5658E-03,+4.8573737E+00,+4.3493247E+00
-477.2244E-03,+2.3776957E+00,+244.6864E-03,+4.8579616E+00,+4.3493247E+00
-477.0942E-03,+2.3776696E+00,+241.5457E-03,+4.8601212E+00,+4.3493247E+00
-476.9640E-03,+2.3776696E+00,+247.0432E-03,+4.8581576E+00,+4.3435660E+00
-476.8338E-03,+2.3776696E+00,+247.5658E-03,+4.8579616E+00,+4.3488021E+00
-476.7035E-03,+2.3776696E+00,+246.8460E-03,+4.8522028E+00,+4.3493247E+00
-476.5733E-03,+2.3776696E+00,+249.6601E-03,+4.8502405E+00,+4.3486049E+00
-476.4431E-03,+2.3773816E+00,+247.0420E-03,+4.8580282E+00,+4.3492594E+00
-476.3129E-03,+2.3773555E+00,+246.7807E-03,+4.8587468E+00,+4.3478850E+00
-476.1827E-03,+2.3773555E+00,+246.7807E-03,+4.8573071E+00,+4.3535132E+00
-476.0525E-03,+2.3773555E+00,+246.7807E-03,+4.8614956E+00,+4.3569152E+00
-475.9223E-03,+2.3773555E+00,+247.5005E-03,+4.8618875E+00,+4.3499780E+00
-475.7921E-03,+2.3770676E+00,+246.1261E-03,+4.8561287E+00,+4.3558034E+00
-475.6619E-03,+2.3773294E+00,+249.5947E-03,+4.8577657E+00,+4.3499127E+00
-475.5317E-03,+2.3773555E+00,+247.7618E-03,+4.8514830E+00,+4.3543637E+00
-475.4015E-03,+2.3773555E+00,+248.2857E-03,+4.8516149E+00,+4.3505019E+00
-475.2713E-03,+2.3773555E+00,+247.6312E-03,+4.8574390E+00,+4.3486702E+00
-475.1410E-03,+2.3770676E+00,+245.4063E-03,+4.8514830E+00,+4.3492594E+00
-475.0108E-03,+2.3773294E+00,+247.3699E-03,+4.8566539E+00,+4.3493247E+00
-474.8806E-03,+2.3770676E+00,+246.1261E-03,+4.8593360E+00,+4.3550835E+00
-474.7504E-03,+2.3770414E+00,+247.4352E-03,+4.8588121E+00,+4.3556062E+00
-474.6202E-03,+2.3770414E+00,+251.8849E-03,+4.8515483E+00,+4.3498474E+00
-474.4900E-03,+2.3773294E+00,+247.2379E-03,+4.8494554E+00,+4.3493247E+00
-474.3598E-03,+2.3796590E+00,+246.7807E-03,+4.8594026E+00,+4.3493247E+00
-474.2296E-03,+2.3775645E+00,+246.7807E-03,+4.8603172E+00,+4.3493247E+00
-474.0994E-03,+2.3764917E+00,+246.7807E-03,+4.8574378E+00,+4.3550835E+00
-473.9692E-03,+2.3769892E+00,+243.1814E-03,+4.8586162E+00,+4.3498474E+00
-473.8390E-03,+2.3770414E+00,+246.4540E-03,+4.8594667E+00,+4.3486049E+00
-473.7088E-03,+2.3793450E+00,+246.7807E-03,+4.8602518E+00,+4.3535785E+00
-473.5785E-03,+2.3786902E+00,+248.2204E-03,+4.8610370E+00,+4.3525961E+00
-473.4483E-03,+2.3763083E+00,+246.9113E-03,+4.8524642E+00,+4.3546250E+00
-473.3181E-03,+2.3760992E+00,+251.0998E-03,+4.8545596E+00,+4.3505019E+00
-473.1879E-03,+2.3766751E+00,+247.1726E-03,+4.8541011E+00,+4.3623474E+00
-473.0577E-03,+2.3764394E+00,+240.3020E-03,+4.8525961E+00,+4.5729341E+00
-472.9275E-03,+2.3764133E+00,+242.5935E-03,+4.8582242E+00,+4.6646489E+00
-472.7973E-03,+2.3764133E+00,+248.6136E-03,+4.8544277E+00,+4.6719667E+00
-472.6671E-03,+2.3758374E+00,+247.6965E-03,+4.8511564E+00,+4.6720320E+00
-472.5369E-03,+2.3780887E+00,+246.8460E-03,+4.8508951E+00,+4.6741916E+00
-472.4067E-03,+2.3757063E+00,+246.7807E-03,+4.8602531E+00,+4.6715082E+00
-472.2765E-03,+2.3760470E+00,+247.5005E-03,+4.8582229E+00,+4.6784454E+00
-472.1463E-03,+2.3755233E+00,+246.8460E-03,+4.8579616E+00,+4.6783788E+00
-472.0160E-03,+2.3760470E+00,+245.3410E-03,+4.8572418E+00,+4.6725546E+00
-471.8858E-03,+2.3763872E+00,+249.5294E-03,+4.8658147E+00,+4.6684328E+00
-471.7556E-03,+2.3752615E+00,+247.0420E-03,+4.8579604E+00,+4.6717054E+00
-471.6254E-03,+2.3757329E+00,+247.5005E-03,+4.8514177E+00,+4.6770710E+00
-471.4952E-03,+2.3752093E+00,+247.5658E-03,+4.8494554E+00,+4.6782481E+00
-471.3650E-03,+2.3751570E+00,+247.5658E-03,+4.8507644E+00,+4.6718348E+00
-471.2348E-03,+2.3754449E+00,+249.0055E-03,+4.8559340E+00,+4.6712469E+00
-471.1046E-03,+2.3751831E+00,+247.6965E-03,+4.8571111E+00,+4.6770057E+00
-470.9744E-03,+2.3751570E+00,+247.5658E-03,+4.8614956E+00,+4.6724893E+00
-470.8442E-03,+2.3754449E+00,+256.2040E-03,+4.8611677E+00,+4.6777908E+00
-470.7140E-03,+2.3777746E+00,+251.2291E-03,+4.8567832E+00,+4.6754340E+00
-470.5838E-03,+2.3753922E+00,+250.7065E-03,+4.8520722E+00,+4.6715735E+00
-470.4535E-03,+2.3751570E+00,+244.9477E-03,+4.8516802E+00,+4.6683675E+00
-470.3233E-03,+2.3751570E+00,+249.4641E-03,+4.8516802E+00,+4.6681062E+00
-470.1931E-03,+2.3754449E+00,+247.0420E-03,+4.8603184E+00,+4.6681062E+00
-470.0629E-03,+2.3748952E+00,+247.5005E-03,+4.8611023E+00,+4.6717054E+00
-469.9327E-03,+2.3748429E+00,+247.5658E-03,+4.8596626E+00,+4.6713122E+00
-469.8025E-03,+2.3748429E+00,+248.2857E-03,+4.8523335E+00,+4.6719667E+00
-469.6723E-03,+2.3748429E+00,+250.5106E-03,+4.8538398E+00,+4.6720320E+00
-469.5421E-03,+2.3748429E+00,+248.5470E-03,+4.8576350E+00,+4.6691526E+00
-469.4119E-03,+2.3759947E+00,+244.7518E-03,+4.8608410E+00,+4.6688913E+00
-469.2817E-03,+2.3746595E+00,+241.5457E-03,+4.8553436E+00,+4.6739303E+00
-469.1515E-03,+2.3748168E+00,+247.0432E-03,+4.8627393E+00,+4.6779868E+00
-469.0213E-03,+2.3748429E+00,+247.5658E-03,+4.8627380E+00,+4.6718348E+00
-468.8910E-03,+2.3748429E+00,+247.5658E-03,+4.8619528E+00,+4.6712469E+00
-468.7608E-03,+2.3771465E+00,+247.5658E-03,+4.8597280E+00,+4.6762858E+00
-468.6306E-03,+2.3770676E+00,+247.5658E-03,+4.8602518E+00,+4.6717041E+00
-468.5004E-03,+2.3770414E+00,+249.0055E-03,+4.8552782E+00,+4.6712469E+00
-468.3702E-03,+2.3747379E+00,+241.9377E-03,+4.8577003E+00,+4.6770057E+00
-468.2400E-03,+2.3765444E+00,+247.0432E-03,+4.8579616E+00,+4.6717695E+00
-468.1098E-03,+2.3767274E+00,+250.4452E-03,+4.8608410E+00,+4.6705270E+00
-467.9796E-03,+2.3744238E+00,+238.4691E-03,+4.8582229E+00,+4.6711815E+00
-467.8494E-03,+2.3762304E+00,+240.2379E-03,+4.8608410E+00,+4.6698072E+00
-467.7192E-03,+2.3743977E+00,+246.9779E-03,+4.8596626E+00,+4.6703964E+00
-467.5890E-03,+2.3762304E+00,+246.8460E-03,+4.8595320E+00,+4.6704617E+00
-467.4588E-03,+2.3764133E+00,+246.7807E-03,+4.8580923E+00,+4.6769403E+00
-467.3285E-03,+2.3764133E+00,+246.7807E-03,+4.8586815E+00,+4.6724893E+00
-467.1983E-03,+2.3761254E+00,+246.7807E-03,+4.8565873E+00,+4.6713122E+00
-467.0681E-03,+2.3760992E+00,+247.5005E-03,+4.8578310E+00,+4.6741263E+00
-466.9379E-03,+2.3760992E+00,+247.5658E-03,+4.8586815E+00,+4.6707883E+00
-466.8077E-03,+2.3760992E+00,+241.8070E-03,+4.8609064E+00,+4.6733411E+00
-466.6775E-03,+2.3737957E+00,+244.1638E-03,+4.8582229E+00,+4.6714428E+00
-466.5473E-03,+2.3770419E+00,+245.1450E-03,+4.8572418E+00,+4.6705270E+00
-466.4171E-03,+2.3773555E+00,+247.3699E-03,+4.8571765E+00,+4.6711815E+00
-466.2869E-03,+2.3759158E+00,+246.8460E-03,+4.8578963E+00,+4.6705270E+00
-466.1567E-03,+2.3769369E+00,+241.7417E-03,+4.8579616E+00,+4.6719014E+00
-466.0265E-03,+2.3758897E+00,+239.8447E-03,+4.8608410E+00,+4.6720320E+00
-465.8963E-03,+2.3766490E+00,+246.1927E-03,+4.8575031E+00,+4.6749114E+00
-465.7660E-03,+2.3767274E+00,+247.5005E-03,+4.8571765E+00,+4.6773323E+00
-465.6358E-03,+2.3732721E+00,+247.5658E-03,+4.8571765E+00,+4.6775283E+00
-465.5056E-03,+2.3738223E+00,+247.5658E-03,+4.8600559E+00,+4.6775283E+00
-465.3754E-03,+2.3739007E+00,+247.5658E-03,+4.8631966E+00,+4.6724893E+00
-465.2452E-03,+2.3727490E+00,+247.5658E-03,+4.8591388E+00,+4.6713122E+00
-465.1150E-03,+2.3726444E+00,+246.8460E-03,+4.8522682E+00,+4.6770057E+00
-464.9848E-03,+2.3726444E+00,+248.2204E-03,+4.8610383E+00,+4.6681702E+00
-464.8546E-03,+2.3723565E+00,+246.9113E-03,+4.8618875E+00,+4.6702004E+00
-464.7244E-03,+2.3746339E+00,+241.7417E-03,+4.8597280E+00,+4.6776602E+00
-464.5942E-03,+2.3748429E+00,+251.3623E-03,+4.8588121E+00,+4.6711149E+00
-464.4640E-03,+2.3745550E+00,+244.3585E-03,+4.8580270E+00,+4.6711815E+00
-464.3338E-03,+2.3745289E+00,+242.9201E-03,+4.8543624E+00,+4.6712469E+00
-464.2035E-03,+2.3745289E+00,+245.7342E-03,+4.8590747E+00,+4.6683675E+00
-464.0733E-03,+2.3742409E+00,+246.7153E-03,+4.8595320E+00,+4.6681062E+00
-463.9431E-03,+2.3719113E+00,+247.5005E-03,+4.8588121E+00,+4.6738650E+00
-463.8129E-03,+2.3740058E+00,+247.5658E-03,+4.8580270E+00,+4.6686288E+00
-463.6827E-03,+2.3747907E+00,+247.5658E-03,+4.8637204E+00,+4.6731451E+00
-463.5525E-03,+2.3748429E+00,+247.5658E-03,+4.8577644E+00,+4.6736024E+00
-463.4223E-03,+2.3759947E+00,+246.8460E-03,+4.8586162E+00,+4.6764818E+00
-463.2921E-03,+2.3746595E+00,+246.7807E-03,+4.8666652E+00,+4.6702644E+00
-463.1619E-03,+2.3739530E+00,+253.2593E-03,+4.8601853E+00,+4.6711162E+00
-463.0317E-03,+2.3739007E+00,+253.8472E-03,+4.8588121E+00,+4.6719667E+00
-462.9015E-03,+2.3741887E+00,+253.8472E-03,+4.8594667E+00,+4.6684328E+00
-462.7713E-03,+2.3747907E+00,+248.8083E-03,+4.8609717E+00,+4.6760245E+00
-462.6410E-03,+2.3742671E+00,+253.3900E-03,+4.8575031E+00,+4.6781828E+00
-462.5108E-03,+2.3742148E+00,+253.8472E-03,+4.8607757E+00,+4.6718348E+00
