x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-2.5000000E+00,-612.9083E-03,+5.0102072E+00,+113.8505E-03,+219.3781E-03
-2.4993490E+00,-621.3882E-03,+5.0083228E+00,+115.7349E-03,+221.2626E-03
-2.4986979E+00,-629.8681E-03,+5.0102072E+00,+115.7349E-03,+221.2626E-03
-2.4980469E+00,-639.9183E-03,+5.0102072E+00,+115.7349E-03,+222.8329E-03
-2.4973958E+00,-648.0842E-03,+5.0102072E+00,+113.8505E-03,+222.8329E-03
-2.4967448E+00,-656.5641E-03,+5.0083228E+00,+115.7349E-03,+224.4033E-03
-2.4960938E+00,-666.6143E-03,+5.0102072E+00,+117.3053E-03,+224.4033E-03
-2.4954427E+00,-676.6646E-03,+5.0102072E+00,+115.7349E-03,+224.4033E-03
-2.4947917E+00,-686.7148E-03,+5.0102072E+00,+117.3053E-03,+222.8329E-03
-2.4941406E+00,-696.7651E-03,+4.2916143E+00,+117.3053E-03,+222.8329E-03
-2.4934896E+00,-710.2701E-03,+1.7806218E+00,+115.7349E-03,+224.4033E-03
-2.4928385E+00,-720.3203E-03,+1.7891017E+00,+117.3053E-03,+224.4033E-03
-2.4921875E+00,-730.3706E-03,+1.7891017E+00,+115.7349E-03,+222.8329E-03
-2.4915365E+00,-740.4208E-03,+1.7891017E+00,+115.7349E-03,+221.2626E-03
-2.4908854E+00,-752.0414E-03,+1.7891017E+00,+115.7349E-03,+221.2626E-03
-2.4902344E+00,-762.0917E-03,+1.7891017E+00,+115.7349E-03,+221.2626E-03
-2.4895833E+00,-772.1420E-03,+1.7891017E+00,+115.7349E-03,+221.2626E-03
-2.4889323E+00,-780.6219E-03,+1.7891017E+00,+113.8505E-03,+221.2626E-03
-2.4882813E+00,-790.6721E-03,+1.7891017E+00,+113.8505E-03,+219.3781E-03
-2.4876302E+00,-800.7224E-03,+1.7118404E+00,+113.8505E-03,+219.3781E-03
-2.4869792E+00,-810.7726E-03,+172.5817E-03,+113.8505E-03,+219.3781E-03
-2.4863281E+00,-822.3932E-03,+186.0867E-03,+113.8505E-03,+219.3781E-03
-2.4856771E+00,-832.4435E-03,+184.2023E-03,+112.2801E-03,+219.3781E-03
-2.4850260E+00,-842.4937E-03,+186.0867E-03,+112.2801E-03,+219.3781E-03
-2.4843750E+00,-850.9736E-03,+186.0867E-03,+113.8505E-03,+219.3781E-03
-2.4837240E+00,-859.1394E-03,+187.6570E-03,+113.8505E-03,+219.3781E-03
-2.4830729E+00,-869.1897E-03,+187.6570E-03,+115.7349E-03,+219.3781E-03
-2.4824219E+00,-879.2399E-03,+186.0867E-03,+115.7349E-03,+221.2626E-03
-2.4817708E+00,-887.7198E-03,+186.0867E-03,+115.7349E-03,+219.3781E-03
-2.4811198E+00,-896.1997E-03,+187.6570E-03,+115.7349E-03,+221.2626E-03
-2.4804688E+00,-906.2500E-03,+187.6570E-03,+115.7349E-03,+222.8329E-03
-2.4798177E+00,-916.3002E-03,+189.2274E-03,+115.7349E-03,+221.2626E-03
-2.4791667E+00,-922.8957E-03,+189.2274E-03,+117.3053E-03,+224.4033E-03
-2.4785156E+00,-931.3756E-03,+189.2274E-03,+117.3053E-03,+222.8329E-03
-2.4778646E+00,-941.4259E-03,+189.2274E-03,+118.8756E-03,+224.4033E-03
