x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-3.240000E-03,+1.638520648E+00,+152.000653E-03,+101.743066E-03,+98.030849E-03
-3.237396E-03,+1.638263111E+00,+152.697890E-03,+101.347337E-03,+99.192910E-03
-3.234792E-03,+1.640084719E+00,+153.137588E-03,+101.667689E-03,+98.363763E-03
-3.232188E-03,+1.640568387E+00,+152.924020E-03,+101.479246E-03,+98.294668E-03
-3.229583E-03,+1.640593513E+00,+153.137588E-03,+101.560905E-03,+98.847432E-03
-3.226979E-03,+1.641648789E+00,+152.924020E-03,+101.717940E-03,+99.211754E-03
-3.224375E-03,+1.641849794E+00,+153.137588E-03,+100.687789E-03,+97.810999E-03
-3.221771E-03,+1.643036980E+00,+154.111207E-03,+100.750603E-03,+98.589895E-03
-3.219167E-03,+1.644977936E+00,+153.891357E-03,+101.460403E-03,+97.735622E-03
-3.216563E-03,+1.645436477E+00,+153.815980E-03,+101.717940E-03,+99.117533E-03
-3.213958E-03,+1.645593513E+00,+154.079799E-03,+100.687789E-03,+98.891401E-03
-3.211354E-03,+1.646673915E+00,+153.338592E-03,+101.542061E-03,+98.790899E-03
-3.208750E-03,+1.646215371E+00,+153.187839E-03,+100.687788E-03,+99.186628E-03
-3.206146E-03,+1.647936479E+00,+152.924020E-03,+101.542061E-03,+99.393915E-03
-3.203542E-03,+1.648024417E+00,+153.269498E-03,+100.687788E-03,+99.419040E-03
-3.200938E-03,+1.649557082E+00,+152.949145E-03,+101.542062E-03,+99.419040E-03
-3.198333E-03,+1.649726678E+00,+152.873769E-03,+101.743066E-03,+98.891401E-03
-3.195729E-03,+1.650361101E+00,+153.929046E-03,+101.743066E-03,+100.373815E-03
-3.193125E-03,+1.650222909E+00,+153.074773E-03,+100.687788E-03,+99.620044E-03
-3.190521E-03,+1.651755574E+00,+152.609949E-03,+101.410152E-03,+98.891401E-03
-3.187917E-03,+1.652980448E+00,+152.955428E-03,+101.322211E-03,+99.318538E-03
-3.185313E-03,+1.653156326E+00,+153.162714E-03,+101.403870E-03,+99.155221E-03
-3.182708E-03,+1.653683965E+00,+153.187839E-03,+100.901356E-03,+99.104970E-03
-3.180104E-03,+1.654444016E+00,+153.187839E-03,+100.668945E-03,+98.841150E-03
-3.177500E-03,+1.654833463E+00,+152.528291E-03,+100.116181E-03,+99.318538E-03
-3.174896E-03,+1.655807082E+00,+153.062212E-03,+101.334776E-03,+99.419040E-03
-3.172292E-03,+1.655851050E+00,+153.715478E-03,+101.454121E-03,+99.287130E-03
-3.169688E-03,+1.657013112E+00,+153.815980E-03,+101.824725E-03,+99.130095E-03
-3.167083E-03,+1.658294519E+00,+153.288341E-03,+100.976733E-03,+99.236879E-03
-3.164479E-03,+1.658363613E+00,+153.715478E-03,+100.273216E-03,+99.393915E-03
-3.161875E-03,+1.659921404E+00,+153.288341E-03,+100.436533E-03,+99.419040E-03
-3.159271E-03,+1.660486729E+00,+153.319749E-03,+100.222965E-03,+98.627581E-03
-3.156667E-03,+1.660405070E+00,+153.212965E-03,+101.491812E-03,+98.740649E-03
-3.154063E-03,+1.662226681E+00,+152.924020E-03,+101.743066E-03,+99.318538E-03
-3.151458E-03,+1.662182708E+00,+153.137588E-03,+102.534524E-03,+99.419040E-03
-3.148854E-03,+1.662634971E+00,+153.187839E-03,+101.893818E-03,+98.627581E-03
-3.146250E-03,+1.664186480E+00,+153.055929E-03,+101.347336E-03,+99.004468E-03
-3.143646E-03,+1.664462859E+00,+153.294624E-03,+101.667690E-03,+99.368789E-03
-3.141042E-03,+1.665386228E+00,+152.949145E-03,+101.611156E-03,+99.419040E-03
-3.138437E-03,+1.665430195E+00,+153.137588E-03,+101.454121E-03,+98.231852E-03
-3.135833E-03,+1.666328439E+00,+153.187839E-03,+101.165176E-03,+98.533363E-03
-3.133229E-03,+1.667427685E+00,+153.187839E-03,+101.378745E-03,+99.161503E-03
-3.130625E-03,+1.666812104E+00,+153.187839E-03,+100.769446E-03,+99.393915E-03
-3.128021E-03,+1.667980450E+00,+153.319749E-03,+101.831008E-03,+99.419040E-03
-3.125417E-03,+1.669814621E+00,+153.212965E-03,+101.793316E-03,+99.419040E-03
-3.122812E-03,+1.670775675E+00,+153.187839E-03,+100.160147E-03,+99.419040E-03
-3.120208E-03,+1.670637481E+00,+153.715479E-03,+101.573472E-03,+99.287130E-03
-3.117604E-03,+1.670719141E+00,+153.288340E-03,+101.768191E-03,+98.338636E-03
-3.115000E-03,+1.672722914E+00,+153.319749E-03,+101.743066E-03,+99.218038E-03
-3.112396E-03,+1.673231703E+00,+153.212965E-03,+101.743066E-03,+99.946680E-03
-3.109792E-03,+1.673784468E+00,+153.715479E-03,+101.215426E-03,+99.519541E-03
-3.107187E-03,+1.674016879E+00,+153.288340E-03,+101.642565E-03,+99.287130E-03
-3.104583E-03,+1.674965374E+00,+153.715479E-03,+101.743066E-03,+99.393915E-03
-3.101979E-03,+1.675273161E+00,+154.343620E-03,+101.215426E-03,+98.363761E-03
-3.099375E-03,+1.675562106E+00,+153.125022E-03,+101.114925E-03,+99.218038E-03
-3.096771E-03,+1.676271906E+00,+153.137589E-03,+101.642565E-03,+98.891400E-03
-3.094167E-03,+1.677584722E+00,+153.187839E-03,+101.215426E-03,+98.263260E-03
-3.091562E-03,+1.678734218E+00,+153.319749E-03,+101.378745E-03,+99.218038E-03
-3.088958E-03,+1.678910095E+00,+154.004424E-03,+100.109896E-03,+98.891400E-03
-3.086354E-03,+1.680229194E+00,+153.338591E-03,+100.913923E-03,+99.318539E-03
-3.083750E-03,+1.681403816E+00,+153.187839E-03,+100.851105E-03,+98.759490E-03
-3.081146E-03,+1.681975423E+00,+153.187839E-03,+100.800855E-03,+98.765774E-03
-3.078542E-03,+1.682842258E+00,+153.187839E-03,+101.064675E-03,+98.790899E-03
-3.075937E-03,+1.682993010E+00,+153.715479E-03,+100.323465E-03,+98.131350E-03
-3.073333E-03,+1.683124920E+00,+153.288340E-03,+100.964174E-03,+98.797183E-03
