x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-3.240000E-03,+1.634550799E+00,+154.758191E-03,+101.743066E-03,+102.848688E-03
-3.237396E-03,+1.635153814E+00,+154.626281E-03,+101.743066E-03,+103.401452E-03
-3.234792E-03,+1.635254317E+00,+153.545879E-03,+101.611156E-03,+102.842407E-03
-3.232188E-03,+1.636573413E+00,+153.872513E-03,+101.322211E-03,+102.716779E-03
-3.229583E-03,+1.637616126E+00,+154.236834E-03,+101.535779E-03,+102.716779E-03
-3.226979E-03,+1.638954066E+00,+153.627537E-03,+101.190302E-03,+102.716779E-03
-3.224375E-03,+1.637993010E+00,+153.370000E-03,+101.774473E-03,+102.716779E-03
-3.221771E-03,+1.639349795E+00,+154.400151E-03,+101.900101E-03,+102.980598E-03
-3.219167E-03,+1.640178940E+00,+154.864975E-03,+102.032010E-03,+103.162759E-03
-3.216563E-03,+1.640807081E+00,+153.596130E-03,+102.189046E-03,+102.792155E-03
-3.213958E-03,+1.641435221E+00,+153.344874E-03,+101.818442E-03,+102.716779E-03
-3.211354E-03,+1.642327181E+00,+153.872513E-03,+101.743066E-03,+102.716779E-03
-3.208750E-03,+1.642873664E+00,+153.709196E-03,+102.006885E-03,+102.716779E-03
-3.206146E-03,+1.643212859E+00,+153.131306E-03,+102.189046E-03,+102.716779E-03
-3.203542E-03,+1.644977936E+00,+153.294623E-03,+101.818442E-03,+102.980598E-03
-3.200938E-03,+1.645304568E+00,+154.400152E-03,+102.138795E-03,+102.767030E-03
-3.198333E-03,+1.645436477E+00,+154.073517E-03,+102.082261E-03,+102.189140E-03
-3.195729E-03,+1.645989242E+00,+153.973015E-03,+102.189046E-03,+102.352457E-03
-3.193125E-03,+1.647540750E+00,+153.973015E-03,+102.082261E-03,+101.611250E-03
-3.190521E-03,+1.647817131E+00,+153.973015E-03,+102.189046E-03,+102.779594E-03
-3.187917E-03,+1.647949040E+00,+153.445376E-03,+102.214171E-03,+102.239391E-03
-3.185313E-03,+1.647050798E+00,+154.004423E-03,+101.290803E-03,+102.088638E-03
-3.182708E-03,+1.649513114E+00,+155.053418E-03,+102.038293E-03,+102.352457E-03
