x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+5.7600000E-03,+1.2343121124E+00,+149.6074407E-03,+83.8724618E-03,+96.7494406E-03
+5.7602604E-03,+1.2367304543E+00,+151.9001512E-03,+84.4692008E-03,+96.4353739E-03
+5.7605208E-03,+1.2387719124E+00,+151.4604495E-03,+85.8511038E-03,+96.9378823E-03
+5.7607813E-03,+1.2402480408E+00,+150.4554268E-03,+85.4742236E-03,+97.0949239E-03
+5.7610417E-03,+1.2416927699E+00,+150.2355771E-03,+85.4114035E-03,+98.3826083E-03
+5.7613021E-03,+1.2434829654E+00,+149.7958776E-03,+84.5948256E-03,+96.9692802E-03
+5.7615625E-03,+1.2452103631E+00,+148.9792928E-03,+84.9717106E-03,+95.4617600E-03
+5.7618229E-03,+1.2462467725E+00,+149.1363394E-03,+85.3800017E-03,+96.0898896E-03
+5.7620833E-03,+1.2451789505E+00,+149.6702441E-03,+85.1287396E-03,+94.8336077E-03
+5.7623438E-03,+1.2474402655E+00,+149.3247818E-03,+85.1601591E-03,+95.1476955E-03
+5.7626042E-03,+1.2501098570E+00,+149.8586873E-03,+86.0709537E-03,+96.6866272E-03
+5.7628646E-03,+1.2519000595E+00,+149.1049247E-03,+85.3799938E-03,+96.3411472E-03
+5.7631250E-03,+1.2529050727E+00,+149.2933696E-03,+84.1237119E-03,+95.2104865E-03
+5.7633854E-03,+1.2532819676E+00,+150.2041806E-03,+84.6262510E-03,+95.2733298E-03
+5.7636458E-03,+1.2541927640E+00,+151.0835668E-03,+85.7568725E-03,+96.9378822E-03
+5.7639063E-03,+1.2551663963E+00,+150.4868255E-03,+85.3800136E-03,+96.7494421E-03
+5.7641667E-03,+1.2580558571E+00,+150.3612176E-03,+86.3222081E-03,+95.8700289E-03
+5.7644271E-03,+1.2602229100E+00,+150.1727419E-03,+85.7882871E-03,+95.8072554E-03
+5.7646875E-03,+1.2601286964E+00,+148.7280454E-03,+85.6626689E-03,+97.9429145E-03
+5.7649479E-03,+1.2615420333E+00,+148.9792938E-03,+85.8511020E-03,+97.5031934E-03
+5.7652083E-03,+1.2643686675E+00,+149.1677472E-03,+84.8774725E-03,+97.7230925E-03
+5.7654688E-03,+1.2652480201E+00,+149.2933566E-03,+84.5320267E-03,+99.4504368E-03
+5.7657292E-03,+1.2646513209E+00,+149.1363440E-03,+84.5633931E-03,+98.4140057E-03
+5.7659896E-03,+1.2655307009E+00,+148.8222342E-03,+83.3071426E-03,+97.2833473E-03
+5.7662500E-03,+1.2663787173E+00,+148.0371070E-03,+82.9302319E-03,+96.6866346E-03
+5.7665104E-03,+1.2684201669E+00,+148.5081704E-03,+82.9302828E-03,+96.4353545E-03
+5.7667708E-03,+1.2699277034E+00,+148.6966707E-03,+85.3800219E-03,+96.4982143E-03
+5.7670313E-03,+1.2708384932E+00,+150.0471173E-03,+87.5785243E-03,+98.3198030E-03
+5.7672917E-03,+1.2725031120E+00,+148.6652128E-03,+88.1123801E-03,+97.9114756E-03
+5.7675521E-03,+1.2751726721E+00,+148.6338389E-03,+86.3850217E-03,+96.9064871E-03
+5.7678125E-03,+1.2756437677E+00,+149.0735014E-03,+86.1337673E-03,+98.0057438E-03
+5.7680729E-03,+1.2764603779E+00,+148.6966458E-03,+85.5370189E-03,+97.2518980E-03
+5.7683333E-03,+1.2787531009E+00,+148.8222462E-03,+85.8511427E-03,+95.5245958E-03
+5.7685938E-03,+1.2797894763E+00,+149.1677743E-03,+86.8875182E-03,+96.4353606E-03
+5.7688542E-03,+1.2802606499E+00,+150.2355619E-03,+87.0446099E-03,+96.5924298E-03
+5.7691146E-03,+1.2820507958E+00,+148.5709675E-03,+87.6726811E-03,+97.0949030E-03
+5.7693750E-03,+1.2827732032E+00,+147.3775498E-03,+86.7933339E-03,+97.0007201E-03
+5.7696354E-03,+1.2845319685E+00,+147.6601936E-03,+87.3272317E-03,+98.4768537E-03
+5.7698958E-03,+1.2857882755E+00,+148.6338699E-03,+86.1337287E-03,+98.7280573E-03
+5.7701563E-03,+1.2870445188E+00,+149.4503579E-03,+85.0659483E-03,+97.8172865E-03
+5.7704167E-03,+1.2885207186E+00,+147.8486433E-03,+85.9767448E-03,+98.3198071E-03
+5.7706771E-03,+1.2896198437E+00,+147.7230097E-03,+86.5420690E-03,+98.7908993E-03
+5.7709375E-03,+1.2904994179E+00,+148.0999247E-03,+86.5734567E-03,+98.1627307E-03
+5.7711979E-03,+1.2943309392E+00,+148.8850726E-03,+86.3222172E-03,+97.4718153E-03
+5.7714583E-03,+1.2946764687E+00,+149.2933902E-03,+86.6991047E-03,+97.0948845E-03
+5.7717188E-03,+1.2968435609E+00,+150.1099528E-03,+86.9817593E-03,+96.7180708E-03
+5.7719792E-03,+1.2980055644E+00,+149.6388169E-03,+85.7254171E-03,+97.4089685E-03
+5.7722396E-03,+1.2985081325E+00,+148.1626826E-03,+84.2179588E-03,+96.8750764E-03
+5.7725000E-03,+1.3009578948E+00,+148.0371266E-03,+84.7204496E-03,+96.4353401E-03
+5.7727604E-03,+1.3027166350E+00,+149.3875944E-03,+85.5056738E-03,+96.5610547E-03
+5.7730208E-03,+1.3031877570E+00,+149.2619434E-03,+86.3221852E-03,+96.9064114E-03
+5.7732813E-03,+1.3042556033E+00,+149.6702983E-03,+85.6940775E-03,+96.3412211E-03
+5.7735417E-03,+1.3059516076E+00,+150.3611719E-03,+86.5106879E-03,+98.0685239E-03
+5.7738021E-03,+1.3080558660E+00,+149.1049073E-03,+86.6362366E-03,+97.2519303E-03
+5.7740625E-03,+1.3089666246E+00,+148.6338192E-03,+86.2280365E-03,+96.6552245E-03
+5.7743229E-03,+1.3099089076E+00,+149.7017196E-03,+87.0759587E-03,+96.9378951E-03
+5.7745833E-03,+1.3113535517E+00,+150.1726978E-03,+86.5734715E-03,+97.1577299E-03
+5.7748438E-03,+1.3123586735E+00,+147.9742416E-03,+86.7305067E-03,+97.0006946E-03
+5.7751042E-03,+1.3148711808E+00,+147.3461383E-03,+86.9503598E-03,+96.5295701E-03
+5.7753646E-03,+1.3160960633E+00,+147.9114805E-03,+87.3900661E-03,+96.7808992E-03
+5.7756250E-03,+1.3171324725E+00,+148.2883300E-03,+87.4528452E-03,+97.8172695E-03
+5.7758854E-03,+1.3176663963E+00,+148.1313146E-03,+86.2279426E-03,+98.0999804E-03
+5.7761458E-03,+1.3187970821E+00,+149.1363843E-03,+85.2229734E-03,+97.9428447E-03
+5.7764063E-03,+1.3208071413E+00,+148.8535698E-03,+85.7254984E-03,+96.2469172E-03
+5.7766667E-03,+1.3228171799E+00,+146.9064531E-03,+87.0760388E-03,+96.9693580E-03
+5.7769271E-03,+1.3235394747E+00,+147.2519012E-03,+87.2643464E-03,+98.3511924E-03
+5.7771875E-03,+1.3235709373E+00,+147.3775592E-03,+86.0709896E-03,+97.4717566E-03
+5.7774479E-03,+1.3253297666E+00,+148.7281013E-03,+86.8875425E-03,+96.3097349E-03
+5.7777083E-03,+1.3273397824E+00,+149.1048583E-03,+86.6676668E-03,+97.1892157E-03
+5.7779688E-03,+1.3286588829E+00,+148.3197937E-03,+87.2016803E-03,+97.7229839E-03
