x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-3.240000E-03,+810.888748E-03,+153.658945E-03,+99.701608E-03,+102.088638E-03
-3.237396E-03,+812.741763E-03,+152.867487E-03,+98.910151E-03,+102.088638E-03
-3.234792E-03,+813.677692E-03,+154.563468E-03,+98.627488E-03,+102.088638E-03
-3.232188E-03,+815.254326E-03,+153.728040E-03,+99.657639E-03,+102.088638E-03
-3.229583E-03,+816.322165E-03,+152.842362E-03,+99.462915E-03,+102.088638E-03
-3.226979E-03,+817.792014E-03,+153.508191E-03,+98.859900E-03,+102.220548E-03
-3.224375E-03,+818.834728E-03,+153.658945E-03,+98.759397E-03,+103.169040E-03
-3.221771E-03,+818.853572E-03,+153.395125E-03,+99.023217E-03,+103.344919E-03
-3.219167E-03,+820.807090E-03,+154.400151E-03,+99.205377E-03,+102.289642E-03
-3.216563E-03,+822.239251E-03,+153.809698E-03,+99.098593E-03,+101.560999E-03
-3.213958E-03,+823.495532E-03,+154.714222E-03,+99.073468E-03,+102.911503E-03
-3.211354E-03,+824.356085E-03,+153.859949E-03,+99.601106E-03,+102.528336E-03
-3.208750E-03,+826.460357E-03,+153.658945E-03,+98.646331E-03,+102.666528E-03
-3.206146E-03,+828.683975E-03,+153.658945E-03,+99.500604E-03,+102.189140E-03
-3.203542E-03,+829.035732E-03,+153.922764E-03,+98.910150E-03,+101.956728E-03
-3.200938E-03,+830.354829E-03,+154.500654E-03,+100.210404E-03,+102.063512E-03
-3.198333E-03,+831.397542E-03,+153.809698E-03,+100.091055E-03,+102.088638E-03
-3.195729E-03,+832.867392E-03,+153.395125E-03,+100.015679E-03,+102.088638E-03
-3.193125E-03,+833.382466E-03,+152.817236E-03,+100.015679E-03,+103.143915E-03
-3.190521E-03,+835.279453E-03,+154.299650E-03,+100.411408E-03,+102.157732E-03
-3.187917E-03,+836.422668E-03,+153.413969E-03,+99.563416E-03,+102.063513E-03
-3.185313E-03,+836.837240E-03,+153.451659E-03,+98.859899E-03,+102.088638E-03
-3.182708E-03,+838.602317E-03,+153.370000E-03,+100.342314E-03,+102.352457E-03
