x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-18.240000E-03,,,,
-18.233490E-03,,,,
-18.226979E-03,,,,
-18.220469E-03,,,,
-18.213958E-03,,,,
-18.207448E-03,,,,
-18.200938E-03,+2.961629931E+00,+4.925278240E+00,+4.890004321E+00,+103.555975E-03
-18.194427E-03,+2.963516865E+00,+4.925486783E+00,+4.889327185E+00,+103.762005E-03
-18.187917E-03,+2.965923900E+00,+4.925486783E+00,+4.889853567E+00,+103.819794E-03
-18.181406E-03,+2.967489227E+00,+4.925275728E+00,+4.890740502E+00,+104.705472E-03
-18.174896E-03,+2.968330936E+00,+4.924858642E+00,+4.890686482E+00,+104.548437E-03
-18.168385E-03,+2.970109830E+00,+4.925280753E+00,+4.890373668E+00,+104.444166E-03
-18.161875E-03,+2.971680182E+00,+4.925903868E+00,+4.890373668E+00,+104.444166E-03
-18.155365E-03,+2.973567117E+00,+4.925486783E+00,+4.890373668E+00,+104.444166E-03
-18.148854E-03,+2.975340986E+00,+4.925275728E+00,+4.890479195E+00,+104.444166E-03
-18.142344E-03,+2.976288222E+00,+4.925069698E+00,+4.890687738E+00,+104.022055E-03
-18.135833E-03,+2.978486715E+00,+4.925697838E+00,+4.890687738E+00,+103.609995E-03
-18.129323E-03,+2.980790735E+00,+4.926484271E+00,+4.890001808E+00,+104.549693E-03
-18.122813E-03,+2.982564604E+00,+4.926422712E+00,+4.889173919E+00,+104.705472E-03
-18.116302E-03,+2.983511840E+00,+4.925280753E+00,+4.890374924E+00,+111.618793E-03
-18.109792E-03,+2.985815861E+00,+4.927381256E+00,+4.895067138E+00,+1.401791757E+00
-18.103281E-03,+2.987695257E+00,+4.928722963E+00,+4.900925173E+00,+4.198488292E+00
-18.096771E-03,+2.988851036E+00,+4.926376230E+00,+4.894132461E+00,+4.905214343E+00
-18.090260E-03,+2.990785710E+00,+4.926166431E+00,+4.891366130E+00,+5.219045861E+00
-18.083750E-03,+2.992093498E+00,+4.925588542E+00,+4.890897537E+00,+5.187962947E+00
-18.077240E-03,+2.993562092E+00,+4.924858642E+00,+4.891107336E+00,+5.160437822E+00
-18.070729E-03,+2.995180182E+00,+4.925016934E+00,+4.891157587E+00,+5.135736818E+00
-18.064219E-03,+2.996284454E+00,+4.925488040E+00,+4.891161356E+00,+5.113445361E+00
-18.057708E-03,+2.998376162E+00,+4.925800853E+00,+4.891681456E+00,+5.093505663E+00
-18.051198E-03,+2.999788222E+00,+4.925800853E+00,+4.891367386E+00,+5.074768226E+00
-18.044688E-03,+3.001309579E+00,+4.925589798E+00,+4.891264371E+00,+5.057290840E+00
-18.038177E-03,+3.003559579E+00,+4.925119949E+00,+4.891261858E+00,+5.041695363E+00
-18.031667E-03,+3.005601036E+00,+4.925173969E+00,+4.890844773E+00,+5.027672751E+00
-18.025156E-03,+3.007695258E+00,+4.925592311E+00,+4.891161356E+00,+5.015584812E+00
-18.018646E-03,+3.009471639E+00,+4.926170201E+00,+4.891575929E+00,+5.004329786E+00
-18.012135E-03,+3.010677670E+00,+4.926530752E+00,+4.891264371E+00,+4.993763205E+00
-18.005625E-03,+3.012194001E+00,+4.926064673E+00,+4.891261858E+00,+4.985338582E+00
-17.999115E-03,+3.014190233E+00,+4.926586029E+00,+4.890844773E+00,+4.977063455E+00
-17.992604E-03,+3.016798272E+00,+4.926216682E+00,+4.891055829E+00,+4.968485567E+00
